,precision,recall,f1-score,support
0,0.2857142857142857,0.6666666666666666,0.4,21.0
1,0.2972972972972973,0.4074074074074074,0.34375,27.0
2,0.5833333333333334,0.5,0.5384615384615384,14.0
3,0.45454545454545453,0.5,0.47619047619047616,10.0
4,0.4444444444444444,0.4444444444444444,0.4444444444444444,9.0
5,0.6470588235294118,0.8461538461538461,0.7333333333333333,13.0
6,0.2222222222222222,0.46153846153846156,0.3,13.0
7,0.28,0.7777777777777778,0.4117647058823529,9.0
8,0.2,0.16666666666666666,0.18181818181818182,6.0
9,0.4,0.2857142857142857,0.3333333333333333,7.0
a,0.8793103448275862,0.7183098591549296,0.7906976744186046,142.0
b,0.24285714285714285,0.5483870967741935,0.33663366336633666,31.0
c,0.8611111111111112,0.5636363636363636,0.6813186813186813,55.0
d,0.38,0.40425531914893614,0.3917525773195876,47.0
e,0.9108910891089109,0.6814814814814815,0.7796610169491526,135.0
f,0.48484848484848486,0.6956521739130435,0.5714285714285714,23.0
g,0.5714285714285714,0.6666666666666666,0.6153846153846154,36.0
h,0.7368421052631579,0.5714285714285714,0.6436781609195402,49.0
i,0.7586206896551724,0.5116279069767442,0.6111111111111112,86.0
j,0.10416666666666667,0.45454545454545453,0.1694915254237288,22.0
k,0.6333333333333333,0.76,0.6909090909090909,25.0
l,0.8536585365853658,0.813953488372093,0.8333333333333334,43.0
m,0.4827586206896552,0.7368421052631579,0.5833333333333334,38.0
n,0.8666666666666667,0.52,0.65,100.0
o,0.8166666666666667,0.46226415094339623,0.5903614457831325,106.0
p,0.6,0.6923076923076923,0.6428571428571429,39.0
q,0.1891891891891892,0.3888888888888889,0.2545454545454545,18.0
r,0.7611940298507462,0.49514563106796117,0.6,103.0
s,0.8823529411764706,0.6451612903225806,0.7453416149068323,93.0
t,0.8169014084507042,0.6823529411764706,0.7435897435897436,85.0
u,0.3409090909090909,0.5555555555555556,0.4225352112676056,27.0
v,1.0,0.6521739130434783,0.7894736842105263,23.0
w,0.7058823529411765,0.5714285714285714,0.631578947368421,21.0
x,0.32432432432432434,0.5217391304347826,0.4,23.0
y,0.4827586206896552,0.6363636363636364,0.5490196078431373,22.0
z,0.2608695652173913,0.3333333333333333,0.2926829268292683,18.0
accuracy,0.5919428200129955,0.5919428200129955,0.5919428200129955,0.5919428200129955
macro avg,0.5489488170428802,0.5649964105165983,0.532605976330017,1539.0
weighted avg,0.6985897494706467,0.5919428200129955,0.6223019096788391,1539.0
